soundtrack,songCode,singer,songName
TRWJBKB128F4280D18,SOODKCM12A8C13E79C,After The Fall,A Friend Called Karma
TRWJBUX12903CCAA44,SODGVXJ12AB0189FAA,Our People Versus Yours,I'm Not Mad_ Just Ask My Camel Steven
TRWJBLJ128F4292CB7,SOTLMXW12A8C139153,Thompson Twins,Sister Of Mercy
TRWJBNS128F428BA12,SOUAHCZ12A8C13C587,Sneaker Pimps,Spin Spin Sugar ((Armand's Dark Garage Mix))
TRWJBWI128F428A3C8,SOIELSX12A8C141719,Magic Slim,Mind Your Own Business
TRWJBQN128F4231C2C,SOYRJHK12A8135736F,Allen Toussaint,Lover Of Love (Album Version)
TRWJBVK128F9324D7F,SONVFBC12AB0185829,Gemelli Diversi,7/5/2001
TRWJBFB128F92FE818,SOJEVSQ12A8C1411DF,Povel Ramel,The Gräsä...
TRWJBJA128F932DD94,SOAAUHH12AB0181B9D,The Strange Fruit Project,Cloud Nine
TRWJBXA128F931B826,SOZAKSH12AB0180561,Uffie,Pop The Glock
TRWJBVS128F92FF203,SOEDYPO12A8C1460BB,Ill Biskits,Exclusive Debut
TRWJBEY128E07879A9,SOIWFMU12A6701DB01,Vinicio Capossela,Che Cosse' L'amor
TRWJBIC128F933FB1F,SOGSVFT12AB01820E1,E.C. Illa,Ill State of Affairs (Ain't No One Down)
TRWJBVG128F92FC109,SOXLXEN12A58A7B0B5,George Hamilton IV,Abilene
TRWJBUY128F42A74B6,SOAUIAJ12A8C13E267,Kemopetrol,My Superstar
TRWJBIZ128F9312D7C,SOJGJZH12AB01801F3,The Blind Boys Of Alabama & Clarence Fountain,Use Me Lord
TRWJBHX128F92E005E,SOFPJPC12A8C142EAE,Sebastien Schuller,Awakening
TRWJBVZ12903CE6790,SOQWUVS12AB018A435,Elkie Brooks,Saved
TRWJBET128F4265A60,SOCFJID12A8C139088,Marc Lavoine,Deux Guitares Au Soleil
TRWJBPV128E078B7BD,SOADBFD12A6701E731,Ofra Haza,Love Song
TRWJBMB128F426682B,SOQYJDP12A8C13A9D5,Percubaba,Quand La Ville Se Meurt
TRWJBVR12903D004F0,SOVHQYK12AB017F2C9,Paradise Lost,Drown In Darkness (live)
TRWJBQC128F9339685,SOAKGML12AB0185DE0,Les Fragments de la Nuit,Solitude
TRWJBYP12903CEED30,SOQEYZD12AC9074D33,Troop,Miss U
TRWJBJA128F1473B72,SOTYAXO12A6D4F8F81,Leroy Hutson,Can't Say Enough About Mom
TRWJBYT128F93065C6,SONVZCA12A58A7AA44,The Audition,Stand On Your Feet
TRWJBFH128F9352567,SOCWAUW12AB0183F02,Marni Nixon_ Lionel Newman Orchestra,Return to Villefrance
TRWJBWZ12903CF725C,SOAOTED12A8C1447FD,Rick Wakeman,Tudorock (Album Version)
TRWJBAG128C7196C18,SOMSKEO12B34F1C2FE,Eric B. & Rakim,As The Rhyme Goes On
TRWJBLY128F92C9C6A,SOLRXBR12A8C13FE17,Super Chikan,Willie Brown Jr.
TRWJBBA128F92FE139,SOKZZWH12AB0181A7B,Tony Rice,Hills Of Roane County
TRWJBXW128F92F59D5,SOYHULU12AB017C7C4,My Sad Captains,Troika
TRWJBXL12903D08B5E,SODAJQM12AC468C7DE,Steppah Huntah,Do it
TRWJBLK128F426193B,SOZCBEM12A8AE481AD,Harry Connick_ Jr.,Autumn In New York
TRWJBAK128F933F2E5,SOZKXXW12AB0188282,Grafh,Bring The Goons Out
