soundtrack,songCode,singer,songName
TRAKGDA128F423CBC8,SOJEJNX12A8AE49441,Tony Matterhorn,Dutty Wine
TRAKGGY128F930B2B0,SOHHJSY12AB017E19A,CANDLEMASS,House Of 1000 Voices
TRAKGWL12903CD6C31,SOHERRE12AB018977C,Mac Wiseman (With Special Guests Lester Flatt & Chubby Wise),Mac Wiseman On The History Of Bluegrass
TRAKGVC128F427CF2F,SOJOAEL12A8C13D1E2,Blue Sky Boys,Comedy With Uncle Josh
TRAKGZH128F428283E,SOIGRYU12A6D4FA611,Outwork feat. Mr Gee,Elektro
TRAKGNF128F4214FFC,SOCOGZE12A6D4FB86A,Marta Sanchez,De Mujer A Mujer
TRAKGSH128F92E8A32,SOQFKJB12AB017F64D,Mani Spinx,Smoke A Flower
TRAKGBO128F1452039,SOAAVXG12A6D4F7777,Denim,Best Song In The World
TRAKGLM128F92EFDE4,SODKKBR12AB0180D26,The Amber Light,Still going nowhere
TRAKGIK128F9304025,SOZTGZE12AB017BE5D,Guadalupe Pineda,A Caminar
TRAKGHK12903CFA163,SOMRRIG12AC3DF57D3,Mountain Goats,Tahitian Ambrosia Maker
TRAKGZM128F92F9F62,SONCRQB12AB0183C1F,Venom,Live Like An Angel
TRAKGWA128F9321155,SOCLFNX12A8C144A03,Ximena Sarinana,Mediocre (Version original)
TRAKGNX12903D0EF46,SOEQAPE12AC4686DF1,Carl Perkins,Memphis (Live)
TRAKGDX128F14739E9,SOOIPND12A6D4F6FF9,Brownsville Station,Fast Phyliss (LP Version)
TRAKGYN128F1487C8A,SOHRIYY12A6D4F7B18,The Four Of Us,Into Your Arms
TRAKGTS128EF35CBD5,SOAXZLM12A6D4F7A95,White Heart,Hold On
TRAKGOF128F93060F6,SOGVLDM12AB017F0A2,Tyrone Taylor,Happiness Is Loving You
TRAKGTZ128F4264EA9,SOZNNVY12A8C130365,Joan Jett & The Blackhearts,Tulane
TRAKGAL128F4294D9E,SOTPVXQ12A8C140751,Keith Leblanc,Here To Go
TRAKGZH12903CD210B,SOVWMUR12A58A7AB4E,Grant McLennan,Comet Scar
TRAKGNA12903CBC07B,SOGYXBI12AB0188309,Ana Nikolic,Sizofrenija(duet Ana Nikolic&Aca Lukas)
TRAKGFU128F14A96C2,SOMUSOR12A6D4FC2AC,Banaroo,Christmas Time
TRAKGGE12903CD4002,SOHAWFT12AB0189A08,Arne Weinberg,Shattered
TRAKGHW12903CFADB4,SOGMXSU12AC4687ACA,Waterson:Carthy,Ye Mariners All
TRAKGZH128F426A899,SOWISVY12A8C13C59C,KATAKLYSM,Under The Bleeding Sun
TRAKGGF128F92D32EC,SONIAGN12A8C143A8B,Susan Aglukark,I Will Return
TRAKGCJ128F145D675,SODYZLC12A6D4F7BD3,El Poder del Norte,Negocio Prohibido
TRAKGQW128F424843A,SOIHRMC12A8C133FF8,Gary Smith,O Holy Night
TRAKGKO128F9341BD2,SOAONUL12AB01892F5,Trance Dance,Hoodoo Wanna Voodoo
TRAKGOH128F1462841,SOFEPAY12A6D4F6CDB,Boo And Gotti,Out Here
TRAKHED12903CDE1E9,SORXQRK12AB018F04F,Ron Perkov featuring Nadine & Adriane Greene,Dance with Me
TRAKHZQ128F426E4DF,SOGDWUD12A8C1390D0,Mono & Nikitaman,Biznizz
TRAKHYW128F422E20A,SOUIJEE12A81C21173,Satan's Host,Infernal Calling
TRAKHXW128F933AD18,SOKYIKI12AB018221A,Enigma,Return To Innocence (Long & Alive Version)
TRAKHEO128E0792142,SORQBOT12A6701ED6E,Butterfly Boucher,Another White Dash
TRAKHXX128E07877EB,SONAEER12A67020459,Red Hot Chili Peppers,Emit Remmus (Album Version)
TRAKHUW12903CF0048,SOWKPHR12A6D4FAC63,Old Man's Child,Towards Eternity
TRAKHAU128F42927B4,SOYZFQG12AB0180D6F,Busta Rhymes,Taste It
TRAKHHF12903CD94B7,SOQHTJT12AB01882C8,Robert Cray,Phone Booth
TRAKHDC128F92FF226,SOHTUFU12AB017DC46,Aphex Twin,Carn Marth
TRAKHRL128F42365DF,SOBFMRQ12A81C20B80,Machine Head,Exhale The Vile (Album Version)
TRAKHLG128F147109C,SOJHSWW12A6D4F7793,Kiko Veneno,No Cuesta Dinero
TRAKHLP12903CC1218,SOYGNUG12AB018545D,Divinefire,Heal Me
TRAKHUT128F934AFAA,SOPQRCX12AB0186435,Atomic Opera,Jesus Junk
TRAKHHQ128F42562A6,SOZZBOT12A58A7A8B7,Native Deen,For The Prophets
TRAKHHG128F92F1E81,SORYRNK12AB0180283,Frost,Fifteen Hundred Miles (Through The Eye Of A Beatle
TRAKHCA12903CB4905,SOARIUW12AB0184EA4,THE INK SPOTS,Maybe (Digitally Remastered)
TRAKHKR128F92F080C,SOGRUMX12A8C142228,Inishkea,Ned of the Hill
TRAKHUI12903CDE258,SOYMAOF12AB0181526,Shaolin Temple Defenders,7 Deadly Corners
TRAKHFI128F1475133,SOWKNGW12A6D4F78BD,Fontella Bass,You've Lost That Lovin' Feelin'
TRAKHVC12903CEDE8A,SOCLZGS12AC3DFAFDA,Aggrovators,Natural Dub
TRAKHKJ128F42828EC,SOEIHAK12A8C13B033,André Previn/Yale String Quartet,Piano Quintet in F minor Op. 34 (1999 Digital Remaster): IV.    Finale (Poco sostenuto - Allegro non troppo - Presto_ non troppo)
TRAKHKF128F9358C30,SOFDDZN12AB018A0CF,Judy Garland,I'm Nobody's Baby
TRAKHMR128F9315AE0,SOAPRGV12A8C14238C,Lano Places,Speeding Up the Sound
TRAKHNY128F930B732,SOLIVKG12B35058B08,Otis Redding,I Can't Get No Satisfaction [Paris]
TRAKHSS12903CE6BD1,SOHJYUA12AC392A93D,Sis Cunningham,Evicted Tenant
TRAKHLM128F9351DD5,SOLZFMV12AB01897FC,Anouk,R U Kiddin' Me
TRAKHNV128F92FC1CF,SORDBQD12AB0184950,Piers Faccini,Master of War (feat. Ben Harper)
TRAKHDN128F933A5B3,SOFUEMQ12A81C2377A,Robert Miles,In My Dreams
TRAKHSE12903CE6B95,SOLUHVO12AC3DF68F1,The Scary Bitches,My Little Itch
TRAKHYP128E0792F07,SOUSWBE12A679AE573,Patty Griffin,Moses
TRAKHLU128F931CA2A,SOTTUWL12AB0180FAB,Flynt,Rien ne nous appartient
TRAKHVQ128F4260A6C,SOKBZIQ12A8AE48BDA,Branford Marsalis;Orpheus Chamber Orchestra,Concertino da camera for Alto Saxophone and Orchestra/II. Larghetto
TRAKHOX12903D02727,SOFDSQJ12AC46874F7,Thee Midniters,Do You Love Me
TRAKHLM128F93241F4,SORUSHL12AB017FE4F,Joris Delacroix,Funky Kong
TRAKHSL128F93288A9,SOOMVRB12AB01817EC,Caprice,The Dusk of Kimmeria
TRAKHTD128F4257ED3,SOOODGL12A8AE45654,The Flaming Stars,A Little Bit Like You
TRAKHZR12903CDAA05,SOBLSMG12AC3DF9F80,Memphis Slim and Willie Dixon,44 Blues
TRAKHNM12903CE5A16,SOWPBSY12AB018828E,Compay Segundo,Pa Los Pinares
TRAKHDA128F4250221,SOVAFKE12A81C22CD2,La Nueva Banda Timbiriche,Esta Navidad (Bonus Track)
TRAKHGF128F9321632,SOZIEYE12AB0185245,LU,"Amateurs Talk Strategy (Also available on the \"Amateurs Talk Strategy\" 12\" (TS-003))"
TRAKHXZ128F932B0EB,SOEZRTB12AB0180C5D,The Hoax,Rich Royal
TRAKHAR128F426789F,SOIJXRM12B35058DF6,Ted Nugent,Hibernation
TRAKHEP128F42324E3,SOZKKAM12A8AE4500B,Little Egypt,Hold On Tight
TRAKHVT128F4299C0C,SOYAULA12A8C13AB35,Tanya Tucker,Half The Moon
TRAKHML128F92F1480,SOVNNHP12A8C141E4F,Audible Mainframe,Subi Alto (Climb High)
TRAKHAY128F92D1C6B,SOMBFWS12A8C145333,Césaria Evora,Salamansa
TRAKHNP128F92E5B58,SOUEIEK12AAF3B50EE,Rhinostar,Einfach
TRAKCQN128F4270137,SOASZUQ12A8C132283,Harold Melvin & The Blue Notes (Featuring Teddy Pendergrass),I Miss You
TRAKCRM128F42542F3,SOYFZYP12A8C1367D5,Dorothy Norwood,Packing Up
TRAKCOX128F9311C3E,SOXMFTU12A8C136302,Stephanie Smith,Not Afraid (Album Version)
TRAKCYR128F92CFD7E,SOPWAHU12A8C140EB2,Vanessa Amorosi,Send Me The Manual
TRAKCFG128F149D9B7,SOMSXGC12A6D4F962D,Tracy Byrd,Walkin' In
TRAKCNJ128F425FEB6,SOQSKSN12A8AE483D2,Barbara McNair,Baby A Go-Go (Countin' On You_ Babe)
TRAKCVC128F9347274,SOYIBSH12AB0185DD1,Axis of Conversation,Readymade Heart Attack
TRAKCAT128F4238DC6,SOWBVJL12A8AE4720C,Elephant Man,Bruk Out and Wine
TRAKCUU128F1489FAD,SOJZZVE12A58A7999D,Cinder,Mirror (Album)
TRAKCNJ128F423D87C,SONXNLN12A8AE45A94,Buck 65,Rat's Ass/Customs
TRAKCTU128F93195AB,SOTDTTB12AB0182624,Rubik,It's Not Really You
TRAKCML128F4246E27,SOKTRGB12CF533CFBD,Santana,Acapulco Sunrise
TRAKCMT128F9308FBA,SORCWUK12A8C14289D,Paul Johnson,Music's In Me
TRAKCPH128F930F9CD,SOAVMSM12AB017CC5C,Johannes Linstead,Guayabera
TRAKCNT128F14AE18E,SOSLLNR12A6D4FB2AF,Charlie Daniels,Just A Little Talk With Jesus Arr. Charlie Daniels
TRAKCAE128F92DACD8,SOCGAOT12A8C138D1C,Claude François,Le chanteur malheureux
TRAKCJF128F4270069,SOXYRHQ12A58A77779,The Pogues,Boys From The County Hell
TRAKCCA128F92F4EDC,SOFTSMC12AB017C6BD,The Cate Brothers,Let It Be
TRAKCLL128F428AE07,SOFNAMY12A58A7CAB7,Hansel Y Raul,Hombre Nuevo
TRAKCKJ128F14A4524,SOXEVCF12A6D4FAC26,Trilok Gurtu,Passing By
TRAKCGW128F932B0C7,SOGSEEI12AB01800BA,Don Cybex,Love In Heaven
TRAKCYN12903CBB8A3,SOCFTJO12AB018CF2D,LCD Soundsystem,I Can Change
TRAKCCF128F93398C9,SOHNKDI12AB0183705,Julie London,Easy Street
TRAKCIL12903CAE9C3,SOWYWPA12AB018B2BE,Hard Place,Bon Vivant
TRAKCWD12903CCC098,SOXXNLI12AB0186B38,Nightech,Sharp Winds Of Black Dust
TRAKCFP12903CE81CA,SOAFBNC12AC468A49E,Panurge,Faux PAL
TRAKCGP128F427CAF4,SOEFQLO12A8C1362CE,Jean Segurel,Viens Danser Jeannette
TRAKCCV128F4266EBB,SOFKAXJ12A58A78D4A,The Rice Field,Oh Baby
TRAKCSV128F424CA8D,SOJAXBM12A8C135A7C,DJ Laz,Intro
TRAKCOY128F1477EBC,SOSAEMV12A6D4FA4BC,The Shore,Everything We Are (Album Version)
TRAKCBC128F92FEE53,SOLMVMY12AB017A8CC,Giorgio Moroder Featuring JD Braithwaite,I'm Yours
TRAKCWC128F4271E34,SOLPWYZ12A8C1335B0,Fania All Stars,Donde
TRAKCOI128F92F731B,SONSGFK12AB0184C1C,Carlos Lyra,Você e eu
TRAKCNQ12903CB1932,SOCKUSH12AB01864C6,Glen Glenn,It's A Sad Thing To See How She's Forgettin' Me
TRAKCNI128F4275045,SODCDGP12A8C132F77,Turbonegro,The Party Starts Now
TRAKCXY128F92D6D9E,SOEWHWK12A8C14264E,Otis Spann,Must Have Been The Devil
TRAKCER128F932BE98,SOFDTDR12AB017A924,Kidz Bop Kids,Are You Happy Now?
TRAKCPQ12903CFF26B,SOGKOYI12AC468AF7B,In Flagranti,Convolution
TRAKCRS12903D033E4,SOTHJQW12AC46895BF,DJ Peril,This Is Who We Are (Who Are You)
TRAKCNI128F427BA71,SOEVJRN12A8C135403,Mustafa Sandal,Iki Tas Corba
TRAKCHU128F4234E44,SOGKRNP12A81C20860,Fran Perea,No me imagino
TRAKCLD128F9337D23,SOFWNKU12A8C13F57D,Dabrye,In Water
TRAKCJK128F92FE943,SOEIYJP12A8C143639,Maria Muldaur,It Ain't The Meat It's The Motion (LP Version)
TRAKCBQ128F425AC2B,SOEOEBD12A8C13890E,Poor Genetic Material,Open (Pt. 2)
TRAKCAQ128F930BABD,SODZOPX12AB0183511,Norbu Sherpa,Raga Kalawati (Midnight Raga) - Original
TRAKCAP128F426415E,SOHJSNI12A58A7DDEC,Kansas,Stay Out Of Trouble
TRAKCWJ12903CF90AF,SOLIGWO12AB0182C7F,Sacramentum,Spiritual Winter
TRAKCAM12903CC3C92,SOAZPKQ12A8C133AFC,Pimentola,Heart's Dementia (Phase II)
TRAKCAC128F146E773,SOKSUYL12A6D4F8B74,Bob Marley & The Wailers,Cry On (Acoustic Demo)
TRAKRHD128F4240FF5,SOUBAJA12A8AE44E3B,Babyshambles,UnBiloTitled
TRAKRQE128F9308670,SOTWKRV12AB0179849,Sadao Watanabe,My Romance
TRAKRNL128F42887B0,SOJOAOJ12A8C137FF6,Parts & Labor,Fake Rain
TRAKRQC128F14A421E,SOERVZK12A3F1EB833,Diana Krall,When I Look In Your Eyes
TRAKRRR128F93047EA,SOLDWBO12A58A7F41E,Joe Simon,Drowning In The Sea Of Love
TRAKRZW128F427145C,SONDPQL12A8C134D18,Steve Morse,Country Colours
TRAKRQF128F9332253,SOKVNAG12AB0188334,Augie Meyers,Memories
TRAKRNP12903CBE4F5,SONHKIJ12AB0182778,The Feelies,She Said_ She Said
TRAKRIS12903CA264D,SOWTOIS12AB0182ABB,Saxon,Rock The Nations (Live at Hammersmith) (B-side of Ride Like The Wind)
TRAKRUY128F92FB943,SOEYVKP12AB017B847,R. Carlos Nakai,Canyon People (World)
TRAKRAG128E07960F7,SOUWNIQ12A67ADE5B6,Celtas Cortos,No Nos Podrán Parar
TRAKRKF128F930B72D,SOBZMVV12AB017F74C,Axel Rudi Pell,Light in the sky
TRAKRTI128F4289B37,SOLARDY12A8C13D9A5,The Immortal Lee County Killers 3,Wide As The Sky
TRAKRXM128F4250E33,SOHKZZU12A8C1327EC,Bob Marley,Corner Stone
TRAKRCM128F146B4DE,SOWIXZS12A58A7AB35,Juan Carlos Baglietto,Fui Mujer
TRAKRSP12903CE6F9C,SORYTWA12AB018AE78,Decima Victima,Inseguridad
TRAKRIP128F92E8398,SODQNUJ12AB017C7C3,Thursday,Last Call
TRAKRWX128F1485ACA,SOHWLQF12A58A80EDF,Sparks,Looks Aren't Everything
TRAKREA128F933FE85,SOLPHXJ12AB01833B4,Kotiteollisuus,Soin
TRAKRHU128F92E7AA6,SOXCVHC12AAFF429D7,Conjunto Clasico,Mi Suegra
TRAKRTY128F4294EC2,SOJXHYU12A8C1419E5,Wendy James,Racine
TRAKRQW128F427D6E3,SOMEWJW12A8C13F04F,Vitamin C,Girls Against Boys (LP Version)
